poř. číslo;příjmení, jméno, tituly;věk;Navrhující strana;Politická příslušnost;Povolání;Bydliště
50;Liška Tomáš Mgr. MBA;47;ODS;BEZPP;ředitel školy;Krupka
51;Hrbek Filip PhDr.;33;ODS;ODS;historik;Litoměřice
52;Dvořák Jan;45;ODS;ODS;pracovník skladu;Jiříkov
53;Horáková Jitka;59;ODS;ODS;účetní;Děčín
54;Kurka Bohumil Ing.;57;ODS;ODS;jednatel společnosti v oboru energetiky;Louny
55;Losenický Jan Mgr.;45;ODS;ODS;místostarosta města Kadaň;Kadaň
56;Dvořák Pavel Ing.;56;ODS;ODS;ředitel a jednatel KONE Industrial -koncern s.r.o.;Bílina
57;Kašpar Pavel;45;ODS;ODS;zaměstnanec automobilky;Ústí nad Labem
58;Zvalová Hana JUDr.;60;ODS;KDU-ČSL;ředitelka galerie a kurátorka sbírkových fondů;Jirkov
59;Zaspal Stanislav;54;ODS;ODS;starosta obce Obrnice;Obrnice
60;Novotný Jan;38;ODS;ODS;finanční referent;Čížkovice
1;Pípal Petr Ing.;61;S.cz;S.cz;starosta města;Dubí
2;Wünsch Lukas;46;S.cz;S.cz;místostarosta města, jednatel Zahrada Čech s.r.o.;Litoměřice
